"id","class_id","lang","name","description"
"8","2","cs","Měkkozobí (Columbiformes)","Ptáci s měkkými zobáky, například holubi a hrdličky."
"8","2","en","Columbiformes","Birds with soft bills, such as pigeons and doves."
"8","2","de","Taubenvögel (Columbiformes)","Vögel mit weichen Schnäbeln, wie Tauben und Turteltauben."
"9","1","cs","Hlodavci (Rodentia)","Nejpočetnější skupina savců, která zahrnuje myši, krysy a veverky."
"9","1","en","Rodentia","The largest group of mammals, including mice, rats, and squirrels."
"9","1","de","Nagetiere (Rodentia)","Die größte Gruppe von Säugetieren, zu der Mäuse, Ratten und Eichhörnchen gehören."
"10","1","cs","Lichokopytníci (Perissodactyla)","Savci s lichými prsty, jako jsou koně, zebry a nosorožci."
"10","1","en","Perissodactyla","Mammals with odd toes, such as horses, zebras, and rhinoceroses."
"10","1","de","Unpaarhufer (Perissodactyla)","Säugetiere mit ungeraden Zehen, wie Pferde, Zebras und Nashörner."
"11","1","cs","Hrabáči (Tubulidentata)","Noční savci, jako je africký mravenečník, kteří mají speciální zuby pro kopání."
"11","1","en","Tubulidentata","Nocturnal mammals, such as the African aardvark, known for their specialized digging teeth."
"11","1","de","Rüsselspringer (Tubulidentata)","Nachtaktive Säugetiere, wie das afrikanische Erdferkel, bekannt für ihre speziellen Grabzähne."
"12","2","cs","Papoušci (Psittaciformes)","Barevní a inteligentní ptáci, známí svými silnými zobáky a schopností napodobovat zvuky."
"12","2","en","Psittaciformes","Colorful and intelligent birds known for their strong beaks and ability to mimic sounds."
"12","2","de","Papageien (Psittaciformes)","Bunte und intelligente Vögel, bekannt für ihre starken Schnäbel und die Fähigkeit, Geräusche nachzuahmen."
"13","2","cs","Srostloprstí (Coraciiformes)","Skupina ptáků zahrnující ledňáky, tukanovce a další, známá pro své pestré zbarvení."
"13","2","en","Coraciiformes","A group of birds including kingfishers, toucans, and others, known for their vibrant coloration."
"13","2","de","Rackenvögel (Coraciiformes)","Eine Gruppe von Vögeln, zu der Eisvögel, Tukane und andere gehören, bekannt für ihre lebendige Färbung."
"14","2","cs","Vrubozobí (Anseriformes)","Ptáci, kteří zahrnují kachny, husy a labutě, známí svým širokým zobákem a plovoucími schopnostmi."
"14","2","en","Anseriformes","Birds including ducks, geese, and swans, known for their broad bills and swimming abilities."
"14","2","de","Gänsevögel (Anseriformes)","Vögel, zu denen Enten, Gänse und Schwäne gehören, bekannt für ihre breiten Schnäbel und Schwimmfähigkeiten."
"15","2","cs","Krátkokřídlí (Gruiformes)","Skupina ptáků zahrnující bahňáky, jako jsou krkavci a žernoseři, známá pro jejich krátká křídla."
"15","2","en","Gruiformes","A group of birds including rails and cranes, known for their short wings."
"15","2","de","Kranichvögel (Gruiformes)","Eine Gruppe von Vögeln, zu der Rallen und Kraniche gehören, bekannt für ihre kurzen Flügel."
"16","1","cs","Primáti (Primates)","Skupina savců, která zahrnuje opice, lidoopy a lidi, známá pro vysokou inteligenci."
"16","1","en","Primates","A group of mammals including monkeys, apes, and humans, known for their high intelligence."
"16","1","de","Primaten (Primates)","Eine Gruppe von Säugetieren, zu der Affen, Menschenaffen und Menschen gehören, bekannt für ihre hohe Intelligenz."
"17","2","cs","Šplhavci (Piciformes)","Ptáci známí pro své silné zobáky a schopnost šplhat, jako jsou datli a ledňáci."
"17","2","en","Piciformes","Birds known for their strong bills and climbing abilities, such as woodpeckers and toucans."
"17","2","de","Spechtvögel (Piciformes)","Vögel, bekannt für ihre starken Schnäbel und Kletterfähigkeiten, wie Spechte und Tukane."
"18","2","cs","Pěvci (Passeriformes)","Nejpočetnější skupina ptáků, zahrnující vrabce, kosy a slavíky, známá pro svou schopnost zpívat."
"18","2","en","Passeriformes","The largest group of birds, including sparrows, thrushes, and nightingales, known for their singing ability."
"18","2","de","Sperlingsvögel (Passeriformes)","Die größte Gruppe von Vögeln, zu der Spatzen, Drosseln und Nachtigallen gehören, bekannt für ihre Gesangsfähigkeit."
"19","1","cs","Chobotnatci (Proboscidea)","Velcí savci, známí svými dlouhými choboty, jako jsou sloni."
"19","1","en","Proboscidea","Large mammals known for their long trunks, such as elephants."
"19","1","de","Rüsseltiere (Proboscidea)","Große Säugetiere, bekannt für ihre langen Rüssel, wie Elefanten."
"20","3","cs","Šupinatí (Squamata)","Plazi zahrnující hady, ještěrky a chameleony, známí svými šupinami pokrývajícími tělo."
"20","3","en","Squamata","Reptiles including snakes, lizards, and chameleons, known for their scaly bodies."
"20","3","de","Schuppenkriechtiere (Squamata)","Reptilien, zu denen Schlangen, Echsen und Chamäleons gehören, bekannt für ihre schuppigen Körper."
"21","2","cs","Sovy (Strigiformes)","Noční ptáci známí pro své široké tváře a vynikající schopnosti lovu v noci."
"21","2","en","Strigiformes","Nocturnal birds known for their wide faces and excellent hunting abilities at night."
"21","2","de","Eulen (Strigiformes)","Nachtaktive Vögel, bekannt für ihre breiten Gesichter und hervorragenden Jagdfähigkeiten bei Nacht."
"22","2","cs","Tučňáci (Sphenisciformes)","Nelétaví ptáci žijící v chladných oblastech, známí pro svou schopnost plavat."
"22","2","en","Sphenisciformes","Flightless birds living in cold regions, known for their swimming ability."
"22","2","de","Pinguine (Sphenisciformes)","Flugunfähige Vögel, die in kalten Regionen leben, bekannt für ihre Schwimmfähigkeit."
"23","1","cs","Ježury (Tachyglossa)","Savci známí pro své dlouhé jazyky, kterými sbírají hmyz, například ježury a mravenečníci."
"23","1","en","Tachyglossa","Mammals known for their long tongues, used to collect insects, such as echidnas and anteaters."
"23","1","de","Schnabeligel (Tachyglossa)","Säugetiere, bekannt für ihre langen Zungen, mit denen sie Insekten sammeln, wie Schnabeligel und Ameisenbären."
"24","9","cs","Štíři (Scorpiones)","Bezobratlí známí svými jedovatými ocasy, kteří obývají teplé oblasti."
"24","9","en","Scorpiones","Arachnids known for their venomous tails, living in warm regions."
"24","9","de","Skorpione (Scorpiones)","Wirbellose, bekannt für ihre giftigen Schwänze, die in warmen Regionen leben."
"25","8","cs","Strašilky (Phasmatodea)","Hmyz, který vypadá jako větve nebo listy, což mu pomáhá skrýt se před predátory."
"25","8","en","Phasmatodea","Insects that resemble branches or leaves, helping them hide from predators."
"25","8","de","Gespenstschrecken (Phasmatodea)","Insekten, die wie Äste oder Blätter aussehen, was ihnen hilft, sich vor Raubtieren zu verstecken."
"26","8","cs","Rovnokřídlí (Orthoptera)","Skupina hmyzu zahrnující kobylky, cvrčky a cikády, známá svými silnými zadními nohami."
"26","8","en","Orthoptera","A group of insects including grasshoppers, crickets, and cicadas, known for their strong hind legs."
"26","8","de","Geradflügler (Orthoptera)","Eine Gruppe von Insekten, zu der Heuschrecken, Grillen und Zikaden gehören, bekannt für ihre starken Hinterbeine."
"27","1","cs","Tany (Scadentia)","Malí, stromoví savci, kteří se pohybují mezi větvemi a většinou obývají jihovýchodní Asii."
"27","1","en","Scadentia","Small, tree-dwelling mammals that move between branches, primarily found in Southeast Asia."
"27","1","de","Spitzhörnchen (Scadentia)","Kleine, baumbewohnende Säugetiere, die sich zwischen Ästen bewegen und hauptsächlich in Südostasien vorkommen."
"28","5","cs","Máloostní (Cypriniformes)","Rybí druhy jako kapři, tlamovci a karasi, známé pro svou rozmanitost a četnost v sladkovodních ekosystémech."
"28","5","en","Cypriniformes","Fish species like carp, cichlids, and goldfish, known for their diversity and abundance in freshwater ecosystems."
"28","5","de","Karpfenartige (Cypriniformes)","Fischarten wie Karpfen, Buntbarsche und Goldfische, bekannt für ihre Vielfalt und Häufigkeit in Süßwasserökosystemen."
"29","3","cs","Krokodýli (Crocodilia)","Velcí plazi žijící v tropických a subtropických oblastech, známí pro svou sílu a schopnost lovit ve vodě."
"29","3","en","Crocodilia","Large reptiles living in tropical and subtropical areas, known for their strength and ability to hunt in water."
"29","3","de","Krokodile (Crocodilia)","Große Reptilien, die in tropischen und subtropischen Gebieten leben, bekannt für ihre Stärke und ihre Fähigkeit, im Wasser zu jagen."
"30","1","cs","Šelmy (Carnivora)","Predátorská skupina savců zahrnující lvy, tygři, vlky a kočky, známá pro jejich lovecké dovednosti."
"30","1","en","Carnivora","A predatory group of mammals including lions, tigers, wolves, and cats, known for their hunting skills."
"30","1","de","Raubtiere (Carnivora)","Eine räuberische Gruppe von Säugetieren, zu der Löwen, Tiger, Wölfe und Katzen gehören, bekannt für ihre Jagdfähigkeiten."
"31","6","cs","Rejnoci (Batoidei)","Mořské ryby s plochým tělem a širokými křídly, které se pohybují po dně oceánů."
"31","6","en","Batoidei","Marine fish with flat bodies and wide wings, moving along the ocean floor."
"31","6","de","Rochen (Batoidei)","Meeresfische mit flachen Körpern und breiten Flügeln, die sich entlang des Meeresbodens bewegen."
"32","4","cs","Ocasatí (Caudata)","Skupina obojživelníků zahrnující mloky a sirény, známá pro své dlouhé ocasy a vodní prostředí."
"32","4","en","Caudata","A group of amphibians including salamanders and sirens, known for their long tails and aquatic environments."
"32","4","de","Schwanzlurche (Caudata)","Eine Gruppe von Amphibien, zu der Salamander und Sirenen gehören, bekannt für ihre langen Schwänze und aquatischen Lebensräume."
"33","4","cs","Žáby (Anura)","Obojživelníci bez ocasu, zahrnující žáby, ropuchy a skokany, známí pro svůj skákavý pohyb."
"33","4","en","Anura","Tail-less amphibians including frogs, toads, and hoppers, known for their jumping movement."
"33","4","de","Frösche (Anura)","Schwanzlose Amphibien, zu denen Frösche, Kröten und Springer gehören, bekannt für ihre springende Fortbewegung."
"34","7","cs","Plži - plicnatí (Pulmonata)","Skupina měkkýšů, která zahrnuje suchozemské a sladkovodní plže, známá pro svůj plicní systém."
"34","7","en","Pulmonata","A group of mollusks including terrestrial and freshwater snails, known for their pulmonary system."
"34","7","de","Lungenschnecken (Pulmonata)","Eine Gruppe von Weichtieren, zu der Land- und Süßwasserschnecken gehören, bekannt für ihr Lungensystem."
"35","5","cs","Ostnoploutví (Perciformes)","Rybí druhy zahrnující pstruhy, okouny a tuňáky, známé pro svůj výrazný postoj a schopnost rychlého plavání."
"35","5","en","Perciformes","Fish species including trout, perch, and tuna, known for their distinctive posture and fast swimming ability."
"35","5","de","Barschartige (Perciformes)","Fischarten, zu denen Forellen, Barsche und Thunfische gehören, bekannt für ihre markante Haltung und schnelle Schwimmfähigkeit."
"36","2","cs","Veslonozí (Pelecaniformes)","Skupina vodních ptáků zahrnující pelikány a kormorány, známá pro svůj výrazný vzhled a potápění."
"36","2","en","Pelecaniformes","A group of aquatic birds including pelicans and cormorants, known for their distinctive appearance and diving ability."
"36","2","de","Ruderfüßer (Pelecaniformes)","Eine Gruppe von Wasserwesen, zu der Pelikane und Kormorane gehören, bekannt für ihr markantes Aussehen und ihre Tauchfähigkeit."
"37","2","cs","Hrabaví (Galliformes)","Skupina ptáků zahrnující kuřata, krocany a bažanty, známá pro své běžecké schopnosti a charakteristické zpěvy."
"37","2","en","Galliformes","A group of birds including chickens, turkeys, and pheasants, known for their running abilities and distinctive calls."
"37","2","de","Hühnervögel (Galliformes)","Eine Gruppe von Vögeln, zu der Hühner, Truthähne und Fasane gehören, bekannt für ihre Laufkünste und charakteristischen Rufe."
"38","2","cs","Měkkozobí (Columbiformes)","Skupina ptáků zahrnující holuby a hrdličky, známá pro svou schopnost létat na dlouhé vzdálenosti."
"38","2","en","Columbiformes","A group of birds including pigeons and doves, known for their ability to fly long distances."
"38","2","de","Taubenvögel (Columbiformes)","Eine Gruppe von Vögeln, zu der Tauben und Turteltauben gehören, bekannt für ihre Fähigkeit, lange Strecken zu fliegen."
"39","1","cs","Hlodavci (Rodentia)","Skupina savců zahrnující křečky, potkany a veverky, známá pro své neustálé okusování."
"39","1","en","Rodentia","A group of mammals including hamsters, rats, and squirrels, known for their constant gnawing."
"39","1","de","Nagetiere (Rodentia)","Eine Gruppe von Säugetieren, zu der Hamster, Ratten und Eichhörnchen gehören, bekannt für ihr ständiges Nagen."
"40","1","cs","Lichokopytníci (Perissodactyla)","Skupina savců zahrnující koně, zebry a nosorožce, známá pro své liché prsty na nohách."
"40","1","en","Perissodactyla","A group of mammals including horses, zebras, and rhinoceroses, known for their odd number of toes."
"40","1","de","Unpaarhufer (Perissodactyla)","Eine Gruppe von Säugetieren, zu der Pferde, Zebras und Nashörner gehören, bekannt für ihre ungerade Anzahl an Zehen."
"41","1","cs","Hrabáči (Tubulidentata)","Skupina savců zahrnující např. mravenečníky, známá pro svou jedinečnou stavbu zubů."
"41","1","en","Tubulidentata","A group of mammals including aardvarks, known for their unique tooth structure."
"41","1","de","Rüsselspringer (Tubulidentata)","Eine Gruppe von Säugetieren, zu der Erdferkel gehören, bekannt für ihre einzigartige Zahnstruktur."
"42","2","cs","Papoušci (Psittaciformes)","Skupina ptáků zahrnující papoušky, známá pro jejich barevné peří a schopnost napodobovat zvuky."
"42","2","en","Psittaciformes","A group of birds including parrots, known for their colorful feathers and ability to mimic sounds."
"42","2","de","Papageien (Psittaciformes)","Eine Gruppe von Vögeln, zu der Papageien gehören, bekannt für ihr buntes Gefieder und die Fähigkeit, Geräusche nachzuahmen."
"43","2","cs","Srostloprstí (Coraciiformes)","Skupina ptáků zahrnující ledňáčky a včelojedy, známá pro svou rozmanitost a živý zpěv."
"43","2","en","Coraciiformes","A group of birds including kingfishers and bee-eaters, known for their diversity and lively calls."
"43","2","de","Rackenvögel (Coraciiformes)","Eine Gruppe von Vögeln, zu der Eisvögel und Bienenfresser gehören, bekannt für ihre Vielfalt und lebhaften Rufe."
"44","2","cs","Vrubozobí (Anseriformes)","Skupina vodních ptáků zahrnující kachny, husi a labutě, známá pro jejich plavání a charakteristické zobáky."
"44","2","en","Anseriformes","A group of waterfowl including ducks, geese, and swans, known for their swimming and distinctive bills."
"44","2","de","Gänsevögel (Anseriformes)","Eine Gruppe von Wasservögeln, zu der Enten, Gänse und Schwäne gehören, bekannt für ihr Schwimmen und charakteristischen Schnäbel."
"45","1","cs","Švábi (Blattodea)","Řád hmyzu zahrnující šváby a termity, známé svou odolností a rychlým pohybem."
"45","1","en","Cockroaches (Blattodea)","An order of insects including cockroaches and termites, known for their resilience and rapid movement."
"45","1","de","Schaben (Blattodea)","Eine Ordnung von Insekten, zu der Kakerlaken und Termiten gehören, bekannt für ihre Widerstandsfähigkeit und schnelle Bewegung."
"46","1","cs","Dravci (Falconiformes)","Řád dravých ptáků, jako jsou sokoli, kteří loví pomocí ostrých drápů a zobáků."
"46","1","en","Falcons (Falconiformes)","An order of predatory birds, such as falcons, that hunt using sharp talons and beaks."
"46","1","de","Falkenartige (Falconiformes)","Eine Ordnung von Raubvögeln, wie Falken, die mit scharfen Krallen und Schnäbeln jagen."
"47","1","cs","Dlouhokřídlí (Chardriiformes)","Řád ptáků zahrnující racky, rybáky a bahňáky, často žijící u vody."
"47","1","en","Shorebirds (Chardriiformes)","An order of birds including gulls, terns, and waders, often found near water."
"47","1","de","Schnepfenvögel (Chardriiformes)","Eine Ordnung von Vögeln, zu der Möwen, Seeschwalben und Watvögel gehören, die oft in der Nähe von Wasser leben."
"48","1","cs","Pavouci (Araneae)","Řád členovců zahrnující pavouky, kteří tkají sítě a loví kořist."
"48","1","en","Spiders (Araneae)","An order of arachnids including spiders, which weave webs and hunt prey."
"48","1","de","Spinnen (Araneae)","Eine Ordnung von Gliederfüßern, zu der Spinnen gehören, die Netze weben und Beute jagen."
"49","1","cs","Afrosoricidi (Afrosoricida)","Řád malých savců z Afriky, jako jsou ježci tenrecovití a zlatokrtci."
"49","1","en","Afrosoricids (Afrosoricida)","An order of small African mammals, such as tenrecs and golden moles."
"49","1","de","Afrosoriciden (Afrosoricida)","Eine Ordnung kleiner afrikanischer Säugetiere, wie Tenreks und Goldmulle."
"50","1","cs","Letouni (Chiroptera)","Řád savců zahrnující netopýry, jediné savce schopné aktivního letu."
"50","1","en","Bats (Chiroptera)","An order of mammals including bats, the only mammals capable of sustained flight."
"50","1","de","Fledertiere (Chiroptera)","Eine Ordnung von Säugetieren, zu der Fledermäuse gehören, die einzigen Säugetiere, die zum Dauerflug fähig sind."
"51","1","cs","Pštrosi (Struthioniformes)","Řád velkých nelétavých ptáků, jako je pštros, známý rychlým během."
"51","1","en","Ostriches (Struthioniformes)","An order of large flightless birds, such as the ostrich, known for fast running."
"51","1","de","Straußenvögel (Struthioniformes)","Eine Ordnung großer flugunfähiger Vögel, wie der Strauß, bekannt für schnelles Laufen."
"52","1","cs","Lelkové (Caprimulgiformes)","Řád nočních ptáků, jako jsou lelkouni, kteří loví hmyz za letu."
"52","1","en","Nightjars (Caprimulgiformes)","An order of nocturnal birds, such as nightjars, that hunt insects in flight."
"52","1","de","Ziegenmelker (Caprimulgiformes)","Eine Ordnung nachtaktiver Vögel, wie Nachtschwalben, die Insekten im Flug jagen."
"53","1","cs","Kukačky (Cuculiformes)","Řád ptáků zahrnující kukačky, známé svým parazitickým kladením vajec."
"53","1","en","Cuckoos (Cuculiformes)","An order of birds including cuckoos, known for their parasitic egg-laying habits."
"53","1","de","Kuckucksvögel (Cuculiformes)","Eine Ordnung von Vögeln, zu der Kuckucke gehören, bekannt für ihre parasitischen Eiablagegewohnheiten."
"54","1","cs","Plameňáci (Phoenicopteriformes)","Řád ptáků zahrnující plameňáky, kteří žijí v mělkých vodách a mají růžové peří."
"54","1","en","Flamingos (Phoenicopteriformes)","An order of birds including flamingos, which live in shallow waters and have pink feathers."
"54","1","de","Flamingos (Phoenicopteriformes)","Eine Ordnung von Vögeln, zu der Flamingos gehören, die in flachen Gewässern leben und rosa Federn haben."
"55","1","cs","Damani (Hyracoidea)","Řád malých býložravých savců, jako jsou damani, příbuzní slonům."
"55","1","en","Hyraxes (Hyracoidea)","An order of small herbivorous mammals, such as hyraxes, related to elephants."
"55","1","de","Schliefer (Hyracoidea)","Eine Ordnung kleiner pflanzenfressender Säugetiere, wie Schliefer, die mit Elefanten verwandt sind."
"56","1","cs","Krabovci = bičovci (Amblypygi)","Řád pavoukovců s dlouhými bičovými končetinami, kteří připomínají kraby."
"56","1","en","Whip Spiders (Amblypygi)","An order of arachnids with long whip-like legs, resembling crabs."
"56","1","de","Geißelspinnen (Amblypygi)","Eine Ordnung von Spinnentieren mit langen, peitschenartigen Beinen, die Krabben ähneln."
"57","1","cs","Ostnojazyční (Osteoglossiformes)","Řád kostnatých ryb s dlouhým jazykem, jako je arapaima."
"57","1","en","Bony-tongued Fish (Osteoglossiformes)","An order of bony fish with long tongues, such as the arapaima."
"57","1","de","Knochenzüngler (Osteoglossiformes)","Eine Ordnung knöcherner Fische mit langen Zungen, wie die Arapaima."
"58","1","cs","Brodiví (Ciconiiformes)","Řád ptáků zahrnující čápy a volavky, kteří žijí u vody."
"58","1","en","Wading Birds (Ciconiiformes)","An order of birds including storks and herons, which live near water."
"58","1","de","Storchenvögel (Ciconiiformes)","Eine Ordnung von Vögeln, zu der Störche und Reiher gehören, die in der Nähe von Wasser leben."
"59","1","cs","Nanduové (Rheiformes)","Řád velkých nelétavých ptáků, jako je nandu, pocházející z Jižní Ameriky."
"59","1","en","Rheas (Rheiformes)","An order of large flightless birds, such as the rhea, native to South America."
"59","1","de","Nandus (Rheiformes)","Eine Ordnung großer flugunfähiger Vögel, wie der Nandu, der aus Südamerika stammt."
